1	2	3	Mean	SD	CV	Missing	P_Malignant	FC_Malignant	Q_Malignant	P_Benign	FC_Benign	Q_Benign
Negative	NEG_F(0)	ERCC_00126.1	2.7	0.6	23.1	0	0.79	0.1	0.9	0.79	-0.1	0.9
Negative	NEG_A(0)	ERCC_00096.1	1.6	1.3	77.4	17.4	0.79	0.1	0.9	0.79	-0.1	0.9
Endogenous	SLIT2	NM_004787.1	8.2	1.8	22.1	0	0.06	-1.4	0.2	0.06	1.4	0.2
Endogenous	APOLD1	NM_001130415.1	8.1	1.7	20.5	0	0.11	-1.1	0.25	0.11	1.1	0.25
Endogenous	UTRN	NM_007124.2	10	0.9	8.7	0	0.0097	-0.9	45	0.0097	0.9	45
Endogenous	TINAGL1	NM_001204414.1	8.9	1.1	12.8	0	99	-0.8	0.25	99	0.8	0.25
Endogenous	CLIC4	NM_013943.2	11.8	1	8.7	0	0.13	-0.7	0.29	0.13	0.7	0.29
Endogenous	RAPH1	NM_025252.3	8.6	1	11.4	0	0.27	-0.5	0.53	0.27	0.5	0.53
Endogenous	PRIMA1	NM_178013.3	6.2	1.1	17.4	0	0.38	-0.4	0.66	0.38	0.4	0.66
Endogenous	ITGA4	NM_000885.4	7.6	1.3	17.5	0	0.47	-0.4	0.72	0.47	0.4	0.72
Endogenous	VCAN	NM_004385.3	9.8	2.2	22.4	0	0.66	-0.4	0.85	0.66	0.4	0.85
Endogenous	SDC3	XM_944729.1	9.4	0.9	9.2	0	0.41	-0.3	0.66	0.41	0.3	0.66
Endogenous	SPRY1	NM_005841.1	9.6	1	10.3	0	0.49	-0.3	0.72	0.49	0.3	0.72
Negative	NEG_D(0)	ERCC_00076.1	1.8	0.7	37.8	4.3	0.36	-0.3	0.65	0.36	0.3	0.65
Endogenous	GPRC5B	NM_016235.1	8.7	0.7	8.6	0	0.83	-0.1	0.91	0.83	0.1	0.91
Endogenous	RGS1	NM_002922.3	8.7	1.9	21.4	0	0.93	-0.1	0.97	0.93	0.1	0.97
Positive	POS_B(32)	ERCC_00112.1	12.6	0.2	1.6	0	0.49	-0.1	0.72	0.49	0.1	0.72
Positive	POS_C(8)	ERCC_00002.1	11.4	0.2	1.8	0	0.33	-0.1	0.62	0.33	0.1	0.62
Positive	POS_A(128)	ERCC_00034.1	15.1	0.2	1.3	0	0.45	-0.1	0.72	0.45	0.1	0.72
Negative	NEG_C(0)	ERCC_00019.1	2.1	0.9	43.4	8.7	0.81	-0.1	0.9	0.81	0.1	0.9
Endogenous	MMP15	NM_002428.2	6.8	1.2	18	0	4.4e-06	2	0.00026	4.4e-06	-2	0.00026
Endogenous	ARL4C	NM_005737.3	9.2	1.4	14.7	0	89	1	0.25	89	-1	0.25
Endogenous	S100A8	NM_002964.3	8.6	2.2	25.4	0	0.28	1	0.55	0.28	-1	0.55
Endogenous	NANP	NM_152667.2	6.7	0.6	8.5	0	0.9	0	0.97	0.9	0	0.97
Endogenous	CD53	NM_001040033.1	8.8	1.4	16.2	0	0.95	0	0.97	0.95	0	0.97
Endogenous	LMF2	NM_033200.1	7.3	0.6	8.3	0	0.94	0	0.97	0.94	0	0.97
Positive	POS_E(0.5)	ERCC_00035.1	7.2	0.3	3.5	0	0.76	0	0.9	0.76	0	0.9
Positive	POS_D(2)	ERCC_00092.1	8.3	0.2	2.3	0	0.99	0	0.99	0.99	0	0.99
Endogenous	THBD	NM_000361.2	9	1.5	16.9	0	0.1	-1	0.25	0.1	1	0.25
Endogenous	EFEMP1	NM_004105.3	10.4	1.8	17.8	0	0.0097	-2	45	0.0097	2	45
