Gene	16_LINDGREN_BLADDER_CAN	7_GAL_LEUKEMIC_STEM_CE	33_SHEPARD_BMYB_MORPHOL	19_MATTIOLI_MGUS_VS_PCL	21_MORI_PRE_BI_LYMPHOCY	32_SESTO_RESPONSE_TO_UV	38_SUNG_METASTASIS_STRO	37_SMITH_TERT_TARGETS_D	6_FAELT_B_CLL_WITH_VH3	40_THILLAINADESAN_ZNF21	5_DUNNE_TARGETS_OF_AML	18_MARSHALL_VIRAL_INFEC	29_REACTOME_THE_ROLE_OF	17_MACLACHLAN_BRCA1_TAR	22_NIELSEN_LIPOSARCOMA_	2_BIOCARTA_CELLCYCLE_P	11_HINATA_NFKB_TARGETS_	15_LAMB_CCND1_TARGETS	25_REACTOME_ACTIVATED_T	14_KIM_TIAL1_TARGETS
ODC1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLP2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFITM1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAPD2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRABP2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLK6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RIMS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
UPK1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KLK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SCEL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GPRC5A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CALB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LMNB1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CDC25C	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S100A8	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LYZ	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RNASE2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HMMR	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F8	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0101	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SECTM1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSGIN2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF18B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPPL2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H4G	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD163	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD68	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPSE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASF1B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALNT12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMXL2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAPG	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMHD1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A4A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC11A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF589	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF20A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCAN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H3B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LILRA6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUB1B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC5A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK16	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
RHOA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TOP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DDIT3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TIMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MET	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ARHGDIA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CDK4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
TFDP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CCNA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ESYT1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B2M	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NUSAP1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC1A	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LBR	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
UBA1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPLP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPAP2B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP210	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUNB	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PELI1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBCB	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G3BP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSH6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPAS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASE3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OPHN1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAICS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NASP	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INTS7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXOSC4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASF1A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPBP	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAPTM4B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBA1B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUND	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF2T	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLAMF1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYMS	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PTPN1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TOMM40	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
UBTF	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PPP5C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MYO9B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SMG5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
VCP	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PRRC2A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CALR	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POR	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
APOA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CLEC3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SERPINB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HSD11B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
UAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LGMN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RNASE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GPRC5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C10orf10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H2AFZ	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RELB	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
S1PR4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TXK	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SGK1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NFKBIA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PIM1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GZMB	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GABPB1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CKS2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KLRG1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RAC1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ATP6V1H	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HCK	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AP1S1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ARF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AP2B1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AP1M2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PACS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CD28	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ELMO1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AP1S2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MAP3K7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MAP2K3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MAPKAPK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MAP2K6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TAB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RIPK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TAB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
H2AFY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ME2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NOP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CHEK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPR56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HELLS	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CKAP2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PTPN22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMS1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNMT1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COTL1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCK1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID5B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQGAP3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAT2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL1A1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXM1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULF1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNB3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRAP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSH2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCK	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCH1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA7L	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC4A2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRIM1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASTL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR76	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANLN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GINS1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPX2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHX1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EMP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RRM1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANP32E	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENPEP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEF1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAPH	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRC1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTK	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MKI67	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSAT1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR11	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SRP72	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ZBTB8A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BAIAP2L1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CAMK2N1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HAUS2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RAD51AP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SKA3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MND1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CDCA8	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
POP7	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MCM8	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EFNA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HEXA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TGFB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
