Gene	4_CREIGHTON_ENDOCRINE_	32_ROPERO_HDAC2_TARGETS	8_GRADE_COLON_AND_RECT	2_BILANGES_SERUM_RESPO	28_REACTOME_FORMATION_O	36_SOTIRIOU_BREAST_CANC	37_TAKADA_GASTRIC_CANCE	3_BRIDEAU_IMPRINTED_GE	29_REACTOME_RNA_POL_III	5_EBAUER_TARGETS_OF_PA	10_HEDENFALK_BREAST_CAN	18_NGO_MALIGNANT_GLIOMA	35_SIG_REGULATION_OF_TH	19_NIELSEN_MALIGNAT_FIB	30_REACTOME_SIGNALING_B	14_LEIN_LOCALIZED_TO_PR	39_VALK_AML_CLUSTER_13	27_REACTOME_ERK_MAPK_TA	13_KEGG_GLYCINE_SERINE_	25_RASHI_RESPONSE_TO_IO
TRABD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPSA	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TPM3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
P4HB	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PARK7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
VIM	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HNRNPK	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HSP90AB1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TPM4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PGK1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KIF5C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CDK14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CHGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ANK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GFM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SNRPN	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
CNTN3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NAP1L5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SFMBT2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCIN	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DCN	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SGCE	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PEG10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PEG3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
UBE3A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GATM	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
MAOB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MAOA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SMARCA2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT5B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SESN1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECHDC2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIRBP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBGCP4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYNC2H1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THSD7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SLC25A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NCALD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PSD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IL5RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
VLDLR	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
CAB39L	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FNDC3A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WWOX	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNV2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MTAP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASEL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FASTKD2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0020	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAPC1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLR3A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLR2F	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ZNF143	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLR1C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SNAPC5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POU2F1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLR3K	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLR3B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SNAPC3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PPP2R1B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MEF2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RPS6KA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DUSP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PPP2CB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MDM2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCNXL2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERGEF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TADA2A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLEC1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEL1L	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLFN12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXNIP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP57	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STEAP1B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAPLN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOPEY1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BNIP3L	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC93432	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLR6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKACB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XPNPEP3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAN1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPS1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSGIN2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARVB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAM3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAR	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR1H4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC16A9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLN2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLE4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GREB1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUDT11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYB5D1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRTOMT	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFN2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MYLK	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CFL2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FLNC	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WASF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PAK1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PAK3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PCSK6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FOXO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACVR2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TDGF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SMAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SMAD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NME5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf63	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDH1B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSPH9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCARA3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1731	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF606	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIPSNAP3B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNTN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF599	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MORN5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CETN2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MKX	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT6B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSP90AA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRI	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf192	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFT74	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLXNC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC401068	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100507291	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB9B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMC3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPA17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA2P5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFT27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ROPN1L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBS5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM19A2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100506844	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSIP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPOP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MORN2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCAB2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR65	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNALI1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM81B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSGA10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCP110	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPOR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQUB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPGRIP1L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf165	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMC2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF3A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGFR1OP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPGR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CC2D2A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFHC2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSPH4A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFHC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFHB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKNA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM67	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP2BP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFT81	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYNLRB2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DZIP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10orf107	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM232	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSD1L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP78	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCAB6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC89	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf74	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM206A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFT57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPSL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM154B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTUD7B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC119B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1407	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf194	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAI1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBBX	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMC4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGIP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEKT1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEK11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM179B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSPH1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENKUR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTUD4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FANK1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF271	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR63	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAAF1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPEF2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFX3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR78	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIH1D2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPS2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
