Gene	65_ROSTY_CERVICAL_CANCE	72_SOTIRIOU_BREAST_CANC	78_WHITEFORD_PEDIATRIC_	9_CHEMNITZ_RESPONSE_TO	40_LEE_EARLY_T_LYMPHOCY	12_CROONQUIST_IL6_DEPRI	54_OXFORD_RALA_OR_RALB_	50_NADERI_BREAST_CANCER	73_TANG_SENESCENCE_TP53	80_WU_APOPTOSIS_BY_CDKN	21_FURUKAWA_DUSP6_TARGE	30_HU_GENOTOXIC_DAMAGE_	71_SMID_BREAST_CANCER_R	69_SIMBULAN_PARP1_TARGE	23_GENTLES_LEUKEMIC_STE	60_REACTOME_G1_S_SPECIF	79_WHITFIELD_CELL_CYCLE	1_AMUNDSON_GAMMA_RADIA	39_KONG_E2F3_TARGETS	5_BURTON_ADIPOGENESIS_
ZWINT	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
HN1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPL1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
POLQ	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
UBE2T	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
FANCI	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HJURP	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KIF20B	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
PSRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CDC25C	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
CDT1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
HIST1H2AB	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
SMG5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CENPK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
RAD51	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TFDP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
CDCA7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LMO4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAM8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PNP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
VCAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CX3CL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FEN1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
E2F3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
FARSA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIF	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EXOSC4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PLXNA1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NONO	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IQGAP3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RAD54L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEPDC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SHCBP1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ERCC6L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DNA2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HMGA1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SAC3D1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPM	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HELLS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NETO2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSM4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAQR4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BID	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPP3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELSR3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
KIF23	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
DNMT3B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
POLE2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK4	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MND1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RRP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNT1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILF3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAT1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF367	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYCN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GINS2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSAT1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECQL4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB3	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUDT1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR11	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASC5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYK	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXXC5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LETM1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUF2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
WHSC1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNMT1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
KRT14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RANGAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NCAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TAGLN2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BARD1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TFAM	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RNASEH2A	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM64A	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHAF1A	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFD2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SKA3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PRAF2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPD52	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFAP1L2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KPTN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NECAB3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRAMD1A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR76	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MICALL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP210	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRIP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJC1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OLFML2A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLT1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAP3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPN	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TIMELESS	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EXO1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PRAME	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
KLRG2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IL20RB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SMARCA4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PMCH	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EBP	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RASIP1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SHMT2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SOX11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNFT2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BLM	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SIPA1L3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ORC6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
WDR5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PTTG3P	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NCAPG2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MRPL12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAGE3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QPRT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITCH	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIS18A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPI	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX39A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANP32E	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COL2A1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NMU	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PSPH	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KPNA4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CSPG4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KLK6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MUC16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KLK7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HAPLN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SPC25	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SKP2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PTP4A3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KNTC1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MIS18BP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WDHD1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
VEGFA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCAPD3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CDC20	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1
MCM4	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1
CCNE2	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1
MCM2	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1
CDK1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1
TYMS	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1
CDC25A	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0
BIRC5	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1
RRM2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1
H2AFX	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0
NEK2	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
PTTG1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0
PBK	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0
NCAPG	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0
TPX2	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0
DLGAP5	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1
NUSAP1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1
KIF11	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1
LMNB1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
SPAG5	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CENPE	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
SMC4	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
UBE2C	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0
TTK	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1
TOP2A	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1
MKI67	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1
TK1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1
NCAPH	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CENPF	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0
CCNA2	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	0
BUB1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	1	1	1
PRC1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1
AURKA	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1
CCNB1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1
CCNB2	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
CKS2	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1
