GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	45	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	-0.62674	-1.4989	0.09785	0.24967	0.999	0.4	0.095	0.363	0.16713	0.024
LE_EGR2_TARGETS_UP	106	http://www.broadinstitute.org/gsea/msigdb/cards/LE_EGR2_TARGETS_UP	-0.58074	-1.4889	0.06324	0.27106	1	0.491	0.104	0.442	0.18121	0.027
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP	164	http://www.broadinstitute.org/gsea/msigdb/cards/SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP	-0.57101	-1.4884	0.06496	0.26841	1	0.378	0.0752	0.352	0.18014	0.026
REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	15	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	-0.65976	-1.4882	0.04508	0.26513	1	0.4	0.0157	0.394	0.17779	0.025
PID_PLK1_PATHWAY	44	http://www.broadinstitute.org/gsea/msigdb/cards/PID_PLK1_PATHWAY	-0.60189	-1.4796	0.09677	0.28398	1	0.386	0.0397	0.372	0.19138	0.031
FINETTI_BREAST_CANCER_KINOME_RED	16	http://www.broadinstitute.org/gsea/msigdb/cards/FINETTI_BREAST_CANCER_KINOME_RED	-0.84221	-1.4786	0.03704	0.28297	1	0.812	0.11	0.724	0.19119	0.031
ODONNELL_TFRC_TARGETS_DN	132	http://www.broadinstitute.org/gsea/msigdb/cards/ODONNELL_TFRC_TARGETS_DN	-0.57074	-1.4773	0.07927	0.28231	1	0.379	0.0721	0.354	0.19023	0.03
REACTOME_G0_AND_EARLY_G1	23	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_G0_AND_EARLY_G1	-0.65468	-1.4729	0.07172	0.29028	1	0.348	0.0461	0.332	0.19665	0.031
BASAKI_YBX1_TARGETS_UP	276	http://www.broadinstitute.org/gsea/msigdb/cards/BASAKI_YBX1_TARGETS_UP	-0.53414	-1.4722	0.05976	0.2849	1	0.373	0.0816	0.347	0.19353	0.03
SONG_TARGETS_OF_IE86_CMV_PROTEIN	59	http://www.broadinstitute.org/gsea/msigdb/cards/SONG_TARGETS_OF_IE86_CMV_PROTEIN	-0.63182	-1.4722	0.0754	0.28853	1	0.441	0.121	0.388	0.19601	0.03
RHODES_UNDIFFERENTIATED_CANCER	67	http://www.broadinstitute.org/gsea/msigdb/cards/RHODES_UNDIFFERENTIATED_CANCER	-0.65288	-1.4657	0.1043	0.29911	1	0.403	0.0699	0.376	0.203	0.033
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	309	http://www.broadinstitute.org/gsea/msigdb/cards/GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	-0.48244	-1.4645	0.0239	0.29865	1	0.589	0.254	0.446	0.20113	0.033
WANG_CISPLATIN_RESPONSE_AND_XPC_UP	190	http://www.broadinstitute.org/gsea/msigdb/cards/WANG_CISPLATIN_RESPONSE_AND_XPC_UP	-0.42471	-1.4642	0.0268	0.2958	1	0.295	0.105	0.266	0.1988	0.031
REACTOME_KINESINS	23	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_KINESINS	-0.6284	-1.4639	0.08634	0.29299	1	0.391	0.0744	0.363	0.19684	0.031
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN	16	http://www.broadinstitute.org/gsea/msigdb/cards/LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN	-0.73411	-1.458	0.06312	0.30525	1	0.688	0.147	0.587	0.20656	0.033
SU_TESTIS	74	http://www.broadinstitute.org/gsea/msigdb/cards/SU_TESTIS	-0.52766	-1.4495	0.1053	0.32509	1	0.23	0.035	0.223	0.22252	0.044
REN_BOUND_BY_E2F	60	http://www.broadinstitute.org/gsea/msigdb/cards/REN_BOUND_BY_E2F	-0.63602	-1.4479	0.09256	0.32592	1	0.517	0.121	0.455	0.22209	0.044
NAKAMURA_CANCER_MICROENVIRONMENT_DN	42	http://www.broadinstitute.org/gsea/msigdb/cards/NAKAMURA_CANCER_MICROENVIRONMENT_DN	-0.59713	-1.4432	0.08713	0.33578	1	0.381	0.0676	0.356	0.23272	0.045
BIOCARTA_G2_PATHWAY	24	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_G2_PATHWAY	-0.52803	-1.4335	0.06587	0.36062	1	0.292	0.059	0.275	0.25168	0.052
FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP	153	http://www.broadinstitute.org/gsea/msigdb/cards/FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP	-0.53471	-1.4303	0.08055	0.36603	1	0.366	0.0862	0.337	0.25473	0.052
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	30	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	-0.58224	-1.4259	0.09369	0.37568	1	0.533	0.121	0.469	0.26333	0.058
FERRANDO_HOX11_NEIGHBORS	23	http://www.broadinstitute.org/gsea/msigdb/cards/FERRANDO_HOX11_NEIGHBORS	-0.53548	-1.4213	0.07984	0.38576	1	0.261	0.0224	0.255	0.26921	0.062
FAELT_B_CLL_WITH_VH3_21_UP	42	http://www.broadinstitute.org/gsea/msigdb/cards/FAELT_B_CLL_WITH_VH3_21_UP	-0.49406	-1.4212	0.06	0.38191	1	0.643	0.283	0.462	0.2664	0.06
VANTVEER_BREAST_CANCER_METASTASIS_DN	111	http://www.broadinstitute.org/gsea/msigdb/cards/VANTVEER_BREAST_CANCER_METASTASIS_DN	-0.5987	-1.4189	0.09761	0.38484	1	0.396	0.0715	0.37	0.26772	0.062
SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6	432	http://www.broadinstitute.org/gsea/msigdb/cards/SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6	-0.53263	-1.4167	0.1122	0.38796	1	0.38	0.0968	0.35	0.26612	0.063
ZHANG_TLX_TARGETS_UP	86	http://www.broadinstitute.org/gsea/msigdb/cards/ZHANG_TLX_TARGETS_UP	-0.59894	-1.4147	0.1364	0.39018	1	0.442	0.0752	0.41	0.26887	0.065
SHEPARD_BMYB_MORPHOLINO_DN	188	http://www.broadinstitute.org/gsea/msigdb/cards/SHEPARD_BMYB_MORPHOLINO_DN	-0.41157	-1.4123	0.07647	0.39393	1	0.255	0.0626	0.242	0.27109	0.065
SMIRNOV_RESPONSE_TO_IR_6HR_DN	109	http://www.broadinstitute.org/gsea/msigdb/cards/SMIRNOV_RESPONSE_TO_IR_6HR_DN	-0.51077	-1.4096	0.066	0.39831	1	0.266	0.048	0.255	0.27387	0.067
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_UP	29	http://www.broadinstitute.org/gsea/msigdb/cards/LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_UP	-0.57122	-1.4066	0.08748	0.39992	1	0.345	0.028	0.336	0.2761	0.067
STANELLE_E2F1_TARGETS	29	http://www.broadinstitute.org/gsea/msigdb/cards/STANELLE_E2F1_TARGETS	-0.50661	-1.4066	0.06744	0.4039	1	0.379	0.0956	0.344	0.27892	0.069
REACTOME_LIPOPROTEIN_METABOLISM	28	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_LIPOPROTEIN_METABOLISM	-0.50563	-1.4017	0.06762	0.41158	1	0.357	0.129	0.311	0.28779	0.07
HONRADO_BREAST_CANCER_BRCA1_VS_BRCA2	18	http://www.broadinstitute.org/gsea/msigdb/cards/HONRADO_BREAST_CANCER_BRCA1_VS_BRCA2	-0.57365	-1.4017	0.09925	0.40773	1	0.556	0.0692	0.518	0.2858	0.069
VERNELL_RETINOBLASTOMA_PATHWAY_UP	68	http://www.broadinstitute.org/gsea/msigdb/cards/VERNELL_RETINOBLASTOMA_PATHWAY_UP	-0.55329	-1.3954	0.1193	0.42447	1	0.412	0.0876	0.377	0.29935	0.076
ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN	15	http://www.broadinstitute.org/gsea/msigdb/cards/ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN	-0.63493	-1.3944	0.07784	0.42366	1	0.6	0.156	0.507	0.29795	0.075
WINNEPENNINCKX_MELANOMA_METASTASIS_UP	154	http://www.broadinstitute.org/gsea/msigdb/cards/WINNEPENNINCKX_MELANOMA_METASTASIS_UP	-0.5673	-1.3881	0.1625	0.44034	1	0.422	0.0969	0.384	0.30736	0.083
PETROVA_PROX1_TARGETS_UP	26	http://www.broadinstitute.org/gsea/msigdb/cards/PETROVA_PROX1_TARGETS_UP	-0.61121	-1.386	0.1277	0.44271	1	0.423	0.0419	0.406	0.31024	0.084
CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN	98	http://www.broadinstitute.org/gsea/msigdb/cards/CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN	-0.51338	-1.3822	0.1206	0.45136	1	0.398	0.12	0.352	0.31716	0.085
ZEMBUTSU_SENSITIVITY_TO_NIMUSTINE	17	http://www.broadinstitute.org/gsea/msigdb/cards/ZEMBUTSU_SENSITIVITY_TO_NIMUSTINE	-0.5648	-1.3771	0.07976	0.46396	1	0.471	0.183	0.385	0.33072	0.084
