Gene	74_VECCHI_GASTRIC_CANCE	15_DELYS_THYROID_CANCER	10_CHIANG_LIVER_CANCER_	29_HOSHIDA_LIVER_CANCER	81_YAUCH_HEDGEHOG_SIGNA	41_LEE_LIVER_CANCER_E2F	66_SCHLESINGER_METHYLAT	51_NAKAYAMA_SOFT_TISSUE	64_RICKMAN_HEAD_AND_NEC	3_BIOCARTA_BAD_PATHWAY	56_REACTOME_AQUAPORIN_M	61_REACTOME_NEPHRIN_INT	34_KEGG_ETHER_LIPID_MET	8_CHEMELLO_SOLEUS_VS_E	4_BIOCARTA_NOS1_PATHWA	59_REACTOME_FORMATION_O	35_KEGG_PRIMARY_BILE_AC	62_REACTOME_PHASE1_FUNC	36_KEGG_RETINOL_METABOL	37_KEGG_TYROSINE_METABO
CYR61	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMCN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMO1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEMA3D	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFAIP8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADD3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPB41L4B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPB41L3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPNE3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF302	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEK	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNAB1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3BP5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC1A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOB1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEOX2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPH	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF862	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EML1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGL2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE10A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLE4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA12A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RYR2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL4A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJB4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCLO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2R1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBR3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPP6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYNE1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLG2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAI1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDC2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTM3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEIS2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASF3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OGN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G0S2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PALMD	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NPY1R	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TFPI2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PTGER3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FABP4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
METTL7A	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FHL1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CHGB	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SYNPO2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SORBS2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CITED2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSC22D3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITM2A	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAS1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMA2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIFR	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLF	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYBRD1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARRDC4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCHE	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFSD4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOX2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CHRM3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KA6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2J1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYVE1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FKBP5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMARCA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINI1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAM2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVEP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOBP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB27A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANEA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDND1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC36A4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BEX5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM150B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFF3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC16A7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBPMS2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC400043	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PID1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LONRF2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF844	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRB3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR3C1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BEX1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF385B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC5D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLLP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMCX1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERO1LB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKD3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTN4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3GL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHISA3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSPT2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGPTL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTNA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPG20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WIPF3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RORA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRX3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF180	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHIP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDFIC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEAL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGNL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGTR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMS3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL4A6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VLDLR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRZ1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR3C2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLIT2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYT4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDPR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAP1L2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OMD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPGD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDH9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOSTDC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUM1L1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDNF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFEMP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGIS	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ANK2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PKIA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TPM1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DCLK1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HSPB3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CMYA5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADH5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PROS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SCG5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2B1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6AP2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPN2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRM5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH9A1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAD1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAF6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS41	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4BPB	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGCR	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XPA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF185	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYB5A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPOX	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NENF	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM129A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTBS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IMPA1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD46	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PON3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOCK4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSFA2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP2C1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIGK	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCG2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DST	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAAA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCK1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELENBP1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADH6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP9	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GNB4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RAB11A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RAB11FIP2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GNG12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GNG2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MYO5B	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SERPING1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C1QBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HSD11B1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGN	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CTH	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNPO	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CES2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
