Gene	14_MCLACHLAN_DENTAL_CAR	9_ICHIBA_GRAFT_VERSUS_	8_FLECHNER_BIOPSY_KIDN	12_MARKEY_RB1_CHRONIC_L	6_DAWSON_METHYLATED_IN	10_LEE_LIVER_CANCER_MYC	19_ONO_AML1_TARGETS_DN	20_ONO_FOXP3_TARGETS_DN	37_WILENSKY_RESPONSE_TO	1_BENNETT_SYSTEMIC_LUP	17_NIELSEN_GIST_AND_SYN	40_ZHAN_MULTIPLE_MYELOM	39_YAO_HOXA10_TARGETS_V	2_BIOCARTA_COMP_PATHWA	4_CHEN_ETV5_TARGETS_SE	36_VALK_AML_CLUSTER_4	11_MAHADEVAN_RESPONSE_T	38_WU_ALZHEIMER_DISEASE	13_MASRI_RESISTANCE_TO_	18_OLSSON_E2F3_TARGETS_
WISP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPR3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNG11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFPI	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSS	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLA2G7	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOE	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRGN	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A6A	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCP2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSR1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
IRF7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SERPING1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LY6E	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MX1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PLSCR1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IFITM3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TNFSF10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RNASE2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OAS2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
IFI44L	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
XAF1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
CA12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MALAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C1orf198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AKR1C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PTGER3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LAMA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NEAT1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
CTGF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
FGFR3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DUSP2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MAL	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AZGP1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CRYBB1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GNAT1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CST6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DSC3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AREG	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IFI27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
QSOX1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HOXA10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TP53INP2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDKN2B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PCP4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ALPL	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YWHAG	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PIGR	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GJA1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ALDH1A2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
STAT1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CAMP	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SMOC2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHISA5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT1A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMSB4X	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLD4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RRAS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3GL1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP26A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LITAF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMHD1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGMN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBP4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCLRE1A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1B3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPEG1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKBIZ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STX3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD52	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIF1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DRAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABCB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TRAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IGFBP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HPGDS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IKZF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ITGA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
UGT2B28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IFITM1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PLEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PDE1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ELN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FADS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ADAMTS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HSPA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NR4A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
REM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
KLHL29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSBPL6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EVX2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCB4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC24A3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGR2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHLHE22	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESR1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OPRD1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRX3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXC1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZIC3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNX1T1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF180	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CADPS2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRY2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISM1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLVS2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKP4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFEMP1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CALD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EPAS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TAGLN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NT5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ORM2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCOLCE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPKAPK2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAO1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2F1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMBT1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REG1A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDO2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SATB1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFH	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL1R1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RARRES1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE6D	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LST1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOCK2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-F	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCN2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3D	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDOC	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENTPD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR3A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOXD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GMFG	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFI30	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORO1A	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCER1G	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCP1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD163	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IL10RA	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CD48	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MMP9	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLAUR	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EVI2A	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CHI3L1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CD68	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GM2A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NPL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NCF1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LAIR1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CFB	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MASP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C1S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C1R	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C4B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ARSB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CD36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
THBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GCG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
IL6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GPNMB	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
PLEK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CXCL12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FCGR2A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RSAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CXCL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
VCAM1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SOD2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CXCL5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FOLR2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CTSD	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CD4	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
PLAU	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TNFAIP6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SFRP4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CCR2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
SOCS3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IRF4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NNMT	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NCF4	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LBP	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD74	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPR1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DQA1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSC	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAMPT	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTB	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MMP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A4A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IBSP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4Y1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM46C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHLDA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASE6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLRX	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALOX5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFI	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICAM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAN2B1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD93	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANPEP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMSN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SASH3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPC1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMDEC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGER4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFD2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5AR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCAR3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGDIB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TREM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IER3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
