GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	27	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	0.57648	1.5775	0.007519	1	0.967	0.37	0.0894	0.338	1	0.551
EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_DN	48	http://www.broadinstitute.org/gsea/msigdb/cards/EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_DN	0.41013	1.5572	0.038	1	0.985	0.167	0.0536	0.158	1	0.608
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP	51	http://www.broadinstitute.org/gsea/msigdb/cards/CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP	0.43996	1.5525	0.0377	1	0.989	0.49	0.223	0.382	1	0.594
REACTOME_PEPTIDE_CHAIN_ELONGATION	88	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PEPTIDE_CHAIN_ELONGATION	0.40853	1.5517	0.03386	1	0.989	0.443	0.226	0.344	1	0.584
REACTOME_REGULATORY_RNA_PATHWAYS	21	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_REGULATORY_RNA_PATHWAYS	0.51574	1.551	0.05094	1	0.989	0.619	0.249	0.465	1	0.574
PID_MYC_ACTIV_PATHWAY	75	http://www.broadinstitute.org/gsea/msigdb/cards/PID_MYC_ACTIV_PATHWAY	0.43101	1.5478	0.04651	1	0.991	0.227	0.107	0.203	1	0.566
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	108	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	0.39211	1.5199	0.02339	1	0.996	0.296	0.15	0.253	1	0.641
KEGG_PROPANOATE_METABOLISM	32	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PROPANOATE_METABOLISM	0.49352	1.5157	0.06107	1	0.996	0.375	0.156	0.317	1	0.643
REACTOME_RNA_POL_III_CHAIN_ELONGATION	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_III_CHAIN_ELONGATION	0.52598	1.5151	0.08738	1	0.996	0.312	0.131	0.272	1	0.622
NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON	21	http://www.broadinstitute.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON	0.72437	1.5092	0.03661	1	0.997	0.81	0.233	0.622	1	0.644
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	111	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	0.38978	1.5053	0.03	1	0.997	0.297	0.15	0.254	1	0.632
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	108	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.40281	1.5023	0.05357	1	0.998	0.454	0.227	0.352	1	0.636
KEGG_NUCLEOTIDE_EXCISION_REPAIR	43	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.45604	1.501	0.05019	1	0.998	0.302	0.144	0.259	1	0.625
HEIDENBLAD_AMPLIFIED_IN_PANCREATIC_CANCER	30	http://www.broadinstitute.org/gsea/msigdb/cards/HEIDENBLAD_AMPLIFIED_IN_PANCREATIC_CANCER	0.59526	1.4962	0.0497	1	0.998	0.6	0.246	0.453	1	0.634
REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	18	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	0.4844	1.4851	0.09884	1	1	0.278	0.131	0.242	1	0.66
LIN_MELANOMA_COPY_NUMBER_DN	39	http://www.broadinstitute.org/gsea/msigdb/cards/LIN_MELANOMA_COPY_NUMBER_DN	0.5475	1.4819	0.05523	1	1	0.564	0.246	0.426	1	0.658
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	48	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	0.51615	1.4746	0.07647	1	1	0.438	0.173	0.362	1	0.665
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	43	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.48042	1.4712	0.03488	1	1	0.442	0.16	0.372	1	0.674
BRIDEAU_IMPRINTED_GENES	60	http://www.broadinstitute.org/gsea/msigdb/cards/BRIDEAU_IMPRINTED_GENES	0.36027	1.4608	0.0297	1	1	0.267	0.159	0.225	1	0.709
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	22	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.53338	1.4586	0.07451	1	1	0.455	0.146	0.389	1	0.7
MARSON_FOXP3_TARGETS_STIMULATED_UP	28	http://www.broadinstitute.org/gsea/msigdb/cards/MARSON_FOXP3_TARGETS_STIMULATED_UP	0.448	1.4554	0.01871	1	1	0.179	0.0353	0.172	1	0.706
VANDESLUIS_NORMAL_EMBRYOS_DN	23	http://www.broadinstitute.org/gsea/msigdb/cards/VANDESLUIS_NORMAL_EMBRYOS_DN	0.46762	1.4533	0.1137	1	1	0.348	0.167	0.29	1	0.702
HUANG_DASATINIB_RESISTANCE_DN	66	http://www.broadinstitute.org/gsea/msigdb/cards/HUANG_DASATINIB_RESISTANCE_DN	0.40113	1.4425	0.06142	1	1	0.379	0.191	0.307	1	0.733
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	17	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	0.45959	1.4411	0.06836	1	1	0.176	0.0554	0.167	1	0.726
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.44085	1.4383	0.06471	1	1	0.439	0.185	0.358	1	0.722
REACTOME_SULFUR_AMINO_ACID_METABOLISM	24	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SULFUR_AMINO_ACID_METABOLISM	0.43757	1.4368	0.07042	1	1	0.375	0.175	0.31	1	0.719
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	21	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.46222	1.4351	0.06288	1	1	0.143	0.0464	0.136	1	0.711
REACTOME_TRANSLATION	148	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSLATION	0.38258	1.4343	0.0505	1	1	0.432	0.227	0.336	1	0.708
PID_BARD1_PATHWAY	29	http://www.broadinstitute.org/gsea/msigdb/cards/PID_BARD1_PATHWAY	0.56515	1.4325	0.1033	1	1	0.655	0.243	0.496	1	0.704
MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_DN	48	http://www.broadinstitute.org/gsea/msigdb/cards/MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_DN	0.43684	1.4317	0.009823	1	1	0.271	0.114	0.24	1	0.703
REACTOME_MRNA_3_END_PROCESSING	32	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MRNA_3_END_PROCESSING	0.62659	1.4314	0.05098	1	1	0.75	0.255	0.559	1	0.696
MCCLUNG_CREB1_TARGETS_DN	55	http://www.broadinstitute.org/gsea/msigdb/cards/MCCLUNG_CREB1_TARGETS_DN	0.3993	1.4311	0.01172	1	1	0.218	0.0985	0.197	1	0.687
KEGG_ONE_CARBON_POOL_BY_FOLATE	17	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ONE_CARBON_POOL_BY_FOLATE	0.44318	1.4279	0.116	1	1	0.294	0.098	0.265	1	0.688
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	130	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.46827	1.4263	0.08135	1	1	0.592	0.249	0.447	1	0.689
POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN	43	http://www.broadinstitute.org/gsea/msigdb/cards/POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN	0.43763	1.4237	0.108	1	1	0.256	0.0989	0.231	1	0.683
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	66	http://www.broadinstitute.org/gsea/msigdb/cards/BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	0.40394	1.4228	0.1024	1	1	0.455	0.208	0.361	1	0.678
REACTOME_MRNA_SPLICING	104	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MRNA_SPLICING	0.46508	1.4218	0.09722	1	1	0.606	0.255	0.453	1	0.673
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	56	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.45218	1.4208	0.1021	1	1	0.411	0.173	0.34	1	0.666
KEGG_RNA_POLYMERASE	27	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_RNA_POLYMERASE	0.43608	1.4207	0.09023	1	1	0.333	0.161	0.28	1	0.657
ABRAMSON_INTERACT_WITH_AIRE	44	http://www.broadinstitute.org/gsea/msigdb/cards/ABRAMSON_INTERACT_WITH_AIRE	0.52642	1.4191	0.101	1	1	0.636	0.241	0.484	1	0.653
HEDENFALK_BREAST_CANCER_BRACX_DN	20	http://www.broadinstitute.org/gsea/msigdb/cards/HEDENFALK_BREAST_CANCER_BRACX_DN	0.56107	1.4178	0.0428	1	1	0.55	0.194	0.444	1	0.652
MOOTHA_FFA_OXYDATION	22	http://www.broadinstitute.org/gsea/msigdb/cards/MOOTHA_FFA_OXYDATION	0.50801	1.4147	0.0998	1	1	0.364	0.141	0.312	1	0.65
BIOCARTA_ATRBRCA_PATHWAY	20	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ATRBRCA_PATHWAY	0.50348	1.4113	0.1052	1	1	0.35	0.133	0.304	1	0.659
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE	76	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE	0.40821	1.4029	0.08431	1	1	0.408	0.218	0.32	1	0.681
BURTON_ADIPOGENESIS_4	45	http://www.broadinstitute.org/gsea/msigdb/cards/BURTON_ADIPOGENESIS_4	0.33897	1.3998	0.09823	1	1	0.156	0.0915	0.142	1	0.684
GUO_TARGETS_OF_IRS1_AND_IRS2	94	http://www.broadinstitute.org/gsea/msigdb/cards/GUO_TARGETS_OF_IRS1_AND_IRS2	0.29329	1.3987	0.03156	1	1	0.234	0.131	0.204	1	0.678
VALK_AML_CLUSTER_8	24	http://www.broadinstitute.org/gsea/msigdb/cards/VALK_AML_CLUSTER_8	0.39072	1.3978	0.06262	1	1	0.125	0.0475	0.119	1	0.674
REACTOME_GLOBAL_GENOMIC_NER_GG_NER	32	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GLOBAL_GENOMIC_NER_GG_NER	0.39542	1.3975	0.1366	1	1	0.25	0.14	0.215	1	0.668
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	415	http://www.broadinstitute.org/gsea/msigdb/cards/CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	0.35081	1.3958	0.1376	1	1	0.287	0.156	0.246	1	0.667
LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_UP	173	http://www.broadinstitute.org/gsea/msigdb/cards/LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_UP	0.28817	1.3928	0.0259	1	1	0.266	0.181	0.219	1	0.67
IRITANI_MAD1_TARGETS_DN	47	http://www.broadinstitute.org/gsea/msigdb/cards/IRITANI_MAD1_TARGETS_DN	0.38262	1.3919	0.1228	1	1	0.362	0.213	0.285	1	0.666
NAKAMURA_CANCER_MICROENVIRONMENT_DN	43	http://www.broadinstitute.org/gsea/msigdb/cards/NAKAMURA_CANCER_MICROENVIRONMENT_DN	0.46567	1.3918	0.1161	1	1	0.395	0.194	0.319	1	0.659
REACTOME_MICRORNA_MIRNA_BIOGENESIS	18	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MICRORNA_MIRNA_BIOGENESIS	0.46173	1.3914	0.1054	1	1	0.611	0.249	0.459	1	0.655
NIKOLSKY_BREAST_CANCER_15Q26_AMPLICON	21	http://www.broadinstitute.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_15Q26_AMPLICON	0.4321	1.3888	0.1443	1	1	0.286	0.113	0.254	1	0.659
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	48	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NUCLEOTIDE_EXCISION_REPAIR	0.37737	1.3887	0.1445	1	1	0.25	0.14	0.215	1	0.655
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP	18	http://www.broadinstitute.org/gsea/msigdb/cards/BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP	0.48702	1.3872	0.05233	1	1	0.278	0.0724	0.258	1	0.655
REACTOME_SYNTHESIS_OF_PA	27	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SYNTHESIS_OF_PA	0.41943	1.3863	0.1187	1	1	0.222	0.078	0.205	1	0.651
BIOCARTA_RARRXR_PATHWAY	15	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RARRXR_PATHWAY	0.52236	1.3862	0.1214	1	1	0.333	0.135	0.288	1	0.646
REACTOME_MRNA_PROCESSING	149	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MRNA_PROCESSING	0.43523	1.386	0.1032	1	1	0.544	0.244	0.413	1	0.643
GRUETZMANN_PANCREATIC_CANCER_DN	197	http://www.broadinstitute.org/gsea/msigdb/cards/GRUETZMANN_PANCREATIC_CANCER_DN	0.33072	1.3804	0.07858	1	1	0.234	0.136	0.203	1	0.651
RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_DN	15	http://www.broadinstitute.org/gsea/msigdb/cards/RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_DN	0.51828	1.3798	0.09091	1	1	0.4	0.147	0.341	1	0.648
TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C	421	http://www.broadinstitute.org/gsea/msigdb/cards/TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C	0.35528	1.3754	0.0451	1	1	0.344	0.199	0.281	1	0.652
KEGG_RIBOSOME	86	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_RIBOSOME	0.36476	1.3691	0.1174	1	1	0.291	0.15	0.248	1	0.668
KEGG_SPLICEOSOME	121	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_SPLICEOSOME	0.42499	1.3686	0.05545	1	1	0.455	0.206	0.363	1	0.667
GREENBAUM_E2A_TARGETS_UP	33	http://www.broadinstitute.org/gsea/msigdb/cards/GREENBAUM_E2A_TARGETS_UP	0.52537	1.3686	0.1973	1	1	0.364	0.182	0.298	1	0.659
FARMER_BREAST_CANCER_CLUSTER_6	16	http://www.broadinstitute.org/gsea/msigdb/cards/FARMER_BREAST_CANCER_CLUSTER_6	0.55753	1.3676	0.05929	1	1	0.5	0.18	0.41	1	0.656
SMITH_LIVER_CANCER	42	http://www.broadinstitute.org/gsea/msigdb/cards/SMITH_LIVER_CANCER	0.44816	1.3662	0.06587	1	1	0.333	0.132	0.29	1	0.658
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_DN	46	http://www.broadinstitute.org/gsea/msigdb/cards/SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_DN	0.4106	1.3656	0.1291	1	1	0.326	0.128	0.285	1	0.654
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	64	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	0.41207	1.3637	0.08669	1	1	0.406	0.218	0.319	1	0.656
MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER	53	http://www.broadinstitute.org/gsea/msigdb/cards/MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER	0.35396	1.3634	0.05198	1	1	0.226	0.117	0.2	1	0.646
KEGG_PYRUVATE_METABOLISM	39	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PYRUVATE_METABOLISM	0.32895	1.3619	0.08135	1	1	0.282	0.147	0.241	1	0.651
PID_SMAD2_3PATHWAY	17	http://www.broadinstitute.org/gsea/msigdb/cards/PID_SMAD2_3PATHWAY	0.52345	1.3602	0.1458	1	1	0.176	0.0301	0.171	1	0.654
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	72	http://www.broadinstitute.org/gsea/msigdb/cards/BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	0.36176	1.3601	0.06501	1	1	0.431	0.238	0.329	1	0.645
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	63	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	0.37641	1.3579	0.05524	1	1	0.27	0.144	0.232	1	0.647
PID_DNA_PK_PATHWAY	15	http://www.broadinstitute.org/gsea/msigdb/cards/PID_DNA_PK_PATHWAY	0.36392	1.3572	0.08383	1	1	0.2	0.0902	0.182	1	0.64
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	48	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.52062	1.3566	0.125	1	1	0.646	0.255	0.482	1	0.633
REACTOME_PURINE_METABOLISM	33	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PURINE_METABOLISM	0.35245	1.3559	0.1043	1	1	0.364	0.167	0.303	1	0.629
ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN	352	http://www.broadinstitute.org/gsea/msigdb/cards/ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN	0.24695	1.3539	0.02756	1	1	0.205	0.155	0.175	1	0.633
GRADE_COLON_AND_RECTAL_CANCER_DN	98	http://www.broadinstitute.org/gsea/msigdb/cards/GRADE_COLON_AND_RECTAL_CANCER_DN	0.33677	1.3538	0.1212	1	1	0.204	0.114	0.181	1	0.631
LOPEZ_MBD_TARGETS_IMPRINTED_AND_X_LINKED	15	http://www.broadinstitute.org/gsea/msigdb/cards/LOPEZ_MBD_TARGETS_IMPRINTED_AND_X_LINKED	0.4733	1.3529	0.1109	1	1	0.2	0.0265	0.195	1	0.627
HEIDENBLAD_AMPLICON_12P11_12_DN	25	http://www.broadinstitute.org/gsea/msigdb/cards/HEIDENBLAD_AMPLICON_12P11_12_DN	0.38093	1.3524	0.102	1	1	0.24	0.135	0.208	1	0.62
SPIRA_SMOKERS_LUNG_CANCER_DN	20	http://www.broadinstitute.org/gsea/msigdb/cards/SPIRA_SMOKERS_LUNG_CANCER_DN	0.45711	1.3505	0.08268	1	1	0.25	0.0836	0.229	1	0.62
CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_DN	20	http://www.broadinstitute.org/gsea/msigdb/cards/CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_DN	0.39345	1.3486	0.0928	1	1	0.2	0.107	0.179	1	0.622
TONG_INTERACT_WITH_PTTG1	55	http://www.broadinstitute.org/gsea/msigdb/cards/TONG_INTERACT_WITH_PTTG1	0.36375	1.3441	0.08687	1	1	0.218	0.0899	0.199	1	0.636
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	0.51386	1.3426	0.1352	1	1	0.312	0.154	0.264	1	0.639
BIOCARTA_EIF_PATHWAY	16	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EIF_PATHWAY	0.49037	1.3423	0.1513	1	1	0.438	0.171	0.363	1	0.631
BHAT_ESR1_TARGETS_VIA_AKT1_DN	79	http://www.broadinstitute.org/gsea/msigdb/cards/BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.35833	1.3419	0.1	1	1	0.177	0.0806	0.163	1	0.624
REACTOME_METABOLISM_OF_MRNA	211	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_MRNA	0.35593	1.3381	0.08465	1	1	0.427	0.231	0.331	1	0.645
BARRIER_COLON_CANCER_RECURRENCE_UP	41	http://www.broadinstitute.org/gsea/msigdb/cards/BARRIER_COLON_CANCER_RECURRENCE_UP	0.53477	1.3373	0.09901	1	1	0.537	0.205	0.427	1	0.639
GAUSSMANN_MLL_AF4_FUSION_TARGETS_C_DN	18	http://www.broadinstitute.org/gsea/msigdb/cards/GAUSSMANN_MLL_AF4_FUSION_TARGETS_C_DN	0.43184	1.3371	0.1039	1	1	0.278	0.14	0.239	1	0.639
PENG_LEUCINE_DEPRIVATION_DN	182	http://www.broadinstitute.org/gsea/msigdb/cards/PENG_LEUCINE_DEPRIVATION_DN	0.30645	1.3365	0.1082	1	1	0.335	0.207	0.268	1	0.632
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN	23	http://www.broadinstitute.org/gsea/msigdb/cards/CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN	0.57543	1.3355	0.1335	1	1	0.348	0.175	0.287	1	0.629
REACTOME_METABOLISM_OF_RNA	252	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_RNA	0.36323	1.3346	0.09216	1	1	0.421	0.226	0.329	1	0.626
BIOCARTA_CERAMIDE_PATHWAY	22	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CERAMIDE_PATHWAY	0.44589	1.332	0.11	1	1	0.455	0.199	0.364	1	0.632
REACTOME_CELL_CYCLE_MITOTIC	300	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CELL_CYCLE_MITOTIC	0.31919	1.332	0.09684	1	1	0.277	0.181	0.229	1	0.634
