qGS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
THUM_SYSTOLIC_HEART_FAILURE_DN	215	http://www.broadinstitute.org/gsea/msigdb/cards/THUM_SYSTOLIC_HEART_FAILURE_DN	0.41253	1.4002	0.06762	1	1	0.279	0.147	0.24	1	0.686
BIOCARTA_TEL_PATHWAY	18	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TEL_PATHWAY	0.4592	1.4	0.1276	1	1	0.389	0.191	0.315	1	0.669
LUI_THYROID_CANCER_CLUSTER_1	51	http://www.broadinstitute.org/gsea/msigdb/cards/LUI_THYROID_CANCER_CLUSTER_1	0.37999	1.3993	0.08529	1	1	0.235	0.145	0.202	1	0.664
PID_INSULIN_PATHWAY	45	http://www.broadinstitute.org/gsea/msigdb/cards/PID_INSULIN_PATHWAY	0.40492	1.397	0.0911	1	1	0.244	0.138	0.211	1	0.657
REACTOME_SYNTHESIS_OF_PA	27	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SYNTHESIS_OF_PA	0.42711	1.3944	0.1014	1	1	0.185	0.0706	0.172	1	0.659
YAUCH_HEDGEHOG_SIGNALING_PARACRINE_UP	141	http://www.broadinstitute.org/gsea/msigdb/cards/YAUCH_HEDGEHOG_SIGNALING_PARACRINE_UP	0.32502	1.3934	0.03728	1	1	0.241	0.16	0.204	1	0.653
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	94	http://www.broadinstitute.org/gsea/msigdb/cards/TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.39574	1.3933	0.06843	1	1	0.223	0.0944	0.203	1	0.64
REACTOME_SIGNAL_TRANSDUCTION_BY_L1	33	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNAL_TRANSDUCTION_BY_L1	0.42812	1.3913	0.1027	1	1	0.212	0.128	0.185	1	0.639
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	66	http://www.broadinstitute.org/gsea/msigdb/cards/BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	0.38953	1.3906	0.1104	1	1	0.318	0.162	0.267	1	0.629
KYNG_DNA_DAMAGE_BY_4NQO_OR_GAMMA_RADIATION	15	http://www.broadinstitute.org/gsea/msigdb/cards/KYNG_DNA_DAMAGE_BY_4NQO_OR_GAMMA_RADIATION	0.49695	1.3846	0.1218	1	1	0.4	0.171	0.332	1	0.647
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	108	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.40273	1.3814	0.125	1	1	0.426	0.219	0.334	1	0.642
CHENG_IMPRINTED_BY_ESTRADIOL	103	http://www.broadinstitute.org/gsea/msigdb/cards/CHENG_IMPRINTED_BY_ESTRADIOL	0.29284	1.3759	0.07828	1	1	0.146	0.0914	0.133	1	0.649
MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_DN	48	http://www.broadinstitute.org/gsea/msigdb/cards/MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_DN	0.39501	1.3717	0.08722	1	1	0.25	0.135	0.217	1	0.654
MEISSNER_BRAIN_ICP_WITH_H3K4ME3	30	http://www.broadinstitute.org/gsea/msigdb/cards/MEISSNER_BRAIN_ICP_WITH_H3K4ME3	0.37395	1.3717	0.07895	1	1	0.167	0.12	0.147	1	0.644
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	104	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.37745	1.3708	0.1151	1	1	0.385	0.205	0.307	1	0.638
LINDGREN_BLADDER_CANCER_CLUSTER_1_UP	106	http://www.broadinstitute.org/gsea/msigdb/cards/LINDGREN_BLADDER_CANCER_CLUSTER_1_UP	0.42728	1.3681	0.09129	1	1	0.283	0.134	0.246	1	0.641
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	21	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.44674	1.3677	0.09465	1	1	0.143	0.0195	0.14	1	0.627
BIOCARTA_MEF2D_PATHWAY	19	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MEF2D_PATHWAY	0.43369	1.3658	0.1437	1	1	0.368	0.178	0.303	1	0.626
LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_SMALL_VS_HUGE_UP	36	http://www.broadinstitute.org/gsea/msigdb/cards/LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_SMALL_VS_HUGE_UP	0.4309	1.3627	0.0865	1	1	0.361	0.174	0.299	1	0.63
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP	170	http://www.broadinstitute.org/gsea/msigdb/cards/CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP	0.34461	1.3604	0.1104	1	1	0.335	0.188	0.274	1	0.63
MEISSNER_NPC_ICP_WITH_H3K4ME3	17	http://www.broadinstitute.org/gsea/msigdb/cards/MEISSNER_NPC_ICP_WITH_H3K4ME3	0.5142	1.3573	0.1181	1	1	0.235	0.117	0.208	1	0.628
PID_AR_TF_PATHWAY	53	http://www.broadinstitute.org/gsea/msigdb/cards/PID_AR_TF_PATHWAY	0.42822	1.3551	0.1319	1	1	0.302	0.143	0.259	1	0.633
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN	51	http://www.broadinstitute.org/gsea/msigdb/cards/BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN	0.40348	1.347	0.1497	1	1	0.275	0.156	0.232	1	0.647
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP	24	http://www.broadinstitute.org/gsea/msigdb/cards/BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP	0.48881	1.3443	0.131	1	1	0.375	0.112	0.333	1	0.656
REACTOME_SIGNALING_BY_BMP	21	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_BMP	0.51853	1.3407	0.1343	1	1	0.381	0.134	0.33	1	0.663
RICKMAN_METASTASIS_UP	322	http://www.broadinstitute.org/gsea/msigdb/cards/RICKMAN_METASTASIS_UP	0.42672	1.3395	0.1384	1	1	0.444	0.232	0.345	1	0.656
VANTVEER_BREAST_CANCER_ESR1_UP	162	http://www.broadinstitute.org/gsea/msigdb/cards/VANTVEER_BREAST_CANCER_ESR1_UP	0.3279	1.3337	0.1183	1	1	0.216	0.127	0.19	1	0.668
REACTOME_STEROID_HORMONES	28	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_STEROID_HORMONES	0.43321	1.3316	0.137	1	1	0.214	0.102	0.193	1	0.664
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	24	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.4389	1.3307	0.1135	1	1	0.292	0.139	0.251	1	0.657
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	0.49019	1.3292	0.142	1	1	0.375	0.165	0.313	1	0.654
ULE_SPLICING_VIA_NOVA2	43	http://www.broadinstitute.org/gsea/msigdb/cards/ULE_SPLICING_VIA_NOVA2	0.39547	1.3288	0.09958	1	1	0.372	0.206	0.296	1	0.645
ZHAN_MULTIPLE_MYELOMA_PR_DN	43	http://www.broadinstitute.org/gsea/msigdb/cards/ZHAN_MULTIPLE_MYELOMA_PR_DN	0.43014	1.3282	0.133	1	1	0.419	0.194	0.338	1	0.641
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	22	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.4298	1.3261	0.1364	1	1	0.182	0.0441	0.174	1	0.64
MCCLUNG_CREB1_TARGETS_DN	55	http://www.broadinstitute.org/gsea/msigdb/cards/MCCLUNG_CREB1_TARGETS_DN	0.34889	1.3257	0.1414	1	1	0.218	0.122	0.192	1	0.635
PID_GLYPICAN_1PATHWAY	27	http://www.broadinstitute.org/gsea/msigdb/cards/PID_GLYPICAN_1PATHWAY	0.4359	1.3229	0.1446	1	1	0.185	0.0469	0.177	1	0.637
ZHOU_INFLAMMATORY_RESPONSE_FIMA_DN	259	http://www.broadinstitute.org/gsea/msigdb/cards/ZHOU_INFLAMMATORY_RESPONSE_FIMA_DN	0.29432	1.3218	0.03688	1	1	0.197	0.129	0.173	1	0.634
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	30	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	0.44899	1.3209	0.118	1	1	0.3	0.139	0.259	1	0.629
TONG_INTERACT_WITH_PTTG1	55	http://www.broadinstitute.org/gsea/msigdb/cards/TONG_INTERACT_WITH_PTTG1	0.36821	1.3206	0.1009	1	1	0.309	0.164	0.259	1	0.624
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	21	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.44565	1.3204	0.1487	1	1	0.19	0.0441	0.182	1	0.617
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	37	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.36952	1.3193	0.1062	1	1	0.297	0.19	0.241	1	0.614
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	18	http://www.broadinstitute.org/gsea/msigdb/cards/WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.49813	1.3173	0.2056	1	1	0.333	0.182	0.273	1	0.613
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS	27	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS	0.42403	1.3103	0.148	1	1	0.222	0.112	0.197	1	0.632
BIOCARTA_CTCF_PATHWAY	23	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CTCF_PATHWAY	0.46975	1.3101	0.1677	1	1	0.304	0.156	0.257	1	0.627
KEGG_PHENYLALANINE_METABOLISM	17	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PHENYLALANINE_METABOLISM	0.40557	1.3087	0.147	1	1	0.118	0.0157	0.116	1	0.624
ST_INTEGRIN_SIGNALING_PATHWAY	81	http://www.broadinstitute.org/gsea/msigdb/cards/ST_INTEGRIN_SIGNALING_PATHWAY	0.37441	1.3075	0.0911	1	1	0.321	0.19	0.261	1	0.623
KEGG_RIBOSOME	86	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_RIBOSOME	0.37657	1.3047	0.1586	1	1	0.395	0.219	0.31	1	0.628
KIM_MYCN_AMPLIFICATION_TARGETS_DN	96	http://www.broadinstitute.org/gsea/msigdb/cards/KIM_MYCN_AMPLIFICATION_TARGETS_DN	0.41082	1.3034	0.1107	1	1	0.292	0.144	0.251	1	0.626
ONDER_CDH1_TARGETS_3_UP	17	http://www.broadinstitute.org/gsea/msigdb/cards/ONDER_CDH1_TARGETS_3_UP	0.47047	1.3014	0.1636	1	1	0.118	0.00872	0.117	1	0.627
FIGUEROA_AML_METHYLATION_CLUSTER_1_UP	111	http://www.broadinstitute.org/gsea/msigdb/cards/FIGUEROA_AML_METHYLATION_CLUSTER_1_UP	0.30702	1.3001	0.09072	1	1	0.234	0.138	0.203	1	0.626
ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_UP	84	http://www.broadinstitute.org/gsea/msigdb/cards/ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_UP	0.42122	1.2986	0.1705	1	1	0.321	0.173	0.267	1	0.624
VALK_AML_CLUSTER_7	27	http://www.broadinstitute.org/gsea/msigdb/cards/VALK_AML_CLUSTER_7	0.40571	1.291	0.1296	1	1	0.222	0.0637	0.208	1	0.637
LUI_THYROID_CANCER_PAX8_PPARG_UP	44	http://www.broadinstitute.org/gsea/msigdb/cards/LUI_THYROID_CANCER_PAX8_PPARG_UP	0.37342	1.2897	0.1373	1	1	0.227	0.114	0.202	1	0.636
KYNG_NORMAL_AGING_UP	18	http://www.broadinstitute.org/gsea/msigdb/cards/KYNG_NORMAL_AGING_UP	0.47431	1.2874	0.182	1	1	0.389	0.185	0.317	1	0.639
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	221	http://www.broadinstitute.org/gsea/msigdb/cards/AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	0.31315	1.2848	0.1485	1	1	0.258	0.184	0.212	1	0.639
DELACROIX_RAR_TARGETS_DN	23	http://www.broadinstitute.org/gsea/msigdb/cards/DELACROIX_RAR_TARGETS_DN	0.41877	1.2832	0.1441	1	1	0.304	0.101	0.274	1	0.64
NIKOLSKY_BREAST_CANCER_12Q13_Q21_AMPLICON	45	http://www.broadinstitute.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_12Q13_Q21_AMPLICON	0.41414	1.278	0.1475	1	1	0.333	0.139	0.288	1	0.653
ZHAN_MULTIPLE_MYELOMA_MS_UP	47	http://www.broadinstitute.org/gsea/msigdb/cards/ZHAN_MULTIPLE_MYELOMA_MS_UP	0.40371	1.2765	0.177	1	1	0.191	0.0716	0.178	1	0.653
NIKOLSKY_BREAST_CANCER_22Q13_AMPLICON	16	http://www.broadinstitute.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_22Q13_AMPLICON	0.53491	1.2747	0.186	1	1	0.188	0.0514	0.178	1	0.652
PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN	102	http://www.broadinstitute.org/gsea/msigdb/cards/PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN	0.34949	1.2737	0.1447	1	1	0.216	0.115	0.192	1	0.648
SHIPP_DLBCL_CURED_VS_FATAL_DN	44	http://www.broadinstitute.org/gsea/msigdb/cards/SHIPP_DLBCL_CURED_VS_FATAL_DN	0.29229	1.2733	0.1206	1	1	0.159	0.0957	0.144	1	0.643
KEGG_GNRH_SIGNALING_PATHWAY	98	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_GNRH_SIGNALING_PATHWAY	0.27231	1.262	0.1107	1	1	0.122	0.101	0.111	1	0.673
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP	63	http://www.broadinstitute.org/gsea/msigdb/cards/BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP	0.34936	1.2591	0.1366	1	1	0.27	0.162	0.227	1	0.679
MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_UP	41	http://www.broadinstitute.org/gsea/msigdb/cards/MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_UP	0.34216	1.2586	0.1776	1	1	0.268	0.163	0.225	1	0.674
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_UP	31	http://www.broadinstitute.org/gsea/msigdb/cards/GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_UP	0.44121	1.2567	0.1748	1	1	0.258	0.107	0.231	1	0.675
ZHAN_MULTIPLE_MYELOMA_CD1_DN	43	http://www.broadinstitute.org/gsea/msigdb/cards/ZHAN_MULTIPLE_MYELOMA_CD1_DN	0.36986	1.2562	0.1453	1	1	0.209	0.0784	0.193	1	0.672
CHANG_IMMORTALIZED_BY_HPV31_UP	82	http://www.broadinstitute.org/gsea/msigdb/cards/CHANG_IMMORTALIZED_BY_HPV31_UP	0.33734	1.2561	0.1322	1	1	0.28	0.172	0.233	1	0.666
CERVERA_SDHB_TARGETS_1_DN	38	http://www.broadinstitute.org/gsea/msigdb/cards/CERVERA_SDHB_TARGETS_1_DN	0.36563	1.2547	0.1737	1	1	0.184	0.0708	0.171	1	0.666
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	316	http://www.broadinstitute.org/gsea/msigdb/cards/SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	0.48247	1.2543	0.267	1	1	0.342	0.146	0.295	1	0.66
WHITEHURST_PACLITAXEL_SENSITIVITY	38	http://www.broadinstitute.org/gsea/msigdb/cards/WHITEHURST_PACLITAXEL_SENSITIVITY	0.28617	1.2541	0.1485	1	1	0.105	0.0824	0.0967	1	0.657
GRATIAS_RETINOBLASTOMA_16Q24	15	http://www.broadinstitute.org/gsea/msigdb/cards/GRATIAS_RETINOBLASTOMA_16Q24	0.40383	1.2537	0.2254	1	1	0.333	0.174	0.275	1	0.651
SCHAEFFER_SOX9_TARGETS_IN_PROSTATE_DEVELOPMENT_UP	21	http://www.broadinstitute.org/gsea/msigdb/cards/SCHAEFFER_SOX9_TARGETS_IN_PROSTATE_DEVELOPMENT_UP	0.40864	1.2501	0.1198	1	1	0.19	0.0342	0.184	1	0.658
RODWELL_AGING_KIDNEY_DN	133	http://www.broadinstitute.org/gsea/msigdb/cards/RODWELL_AGING_KIDNEY_DN	0.3536	1.25	0.1175	1	1	0.271	0.152	0.231	1	0.654
