Gene	6_GAL_LEUKEMIC_STEM_CE	34_SHEPARD_BMYB_MORPHOL	12_ICHIBA_GRAFT_VERSUS_	1_ACOSTA_PROLIFERATION	15_LENAOUR_DENDRITIC_CE	17_MORI_PRE_BI_LYMPHOCY	20_NIKOLSKY_BREAST_CANC	9_GROSS_HYPOXIA_VIA_EL	24_PARK_APL_PATHOGENESI	21_OLSSON_E2F3_TARGETS_	16_LINDSTEDT_DENDRITIC_	22_ONO_AML1_TARGETS_DN	23_ONO_FOXP3_TARGETS_DN	33_SEITZ_NEOPLASTIC_TRA	11_HOFFMANN_PRE_BI_TO_L	41_YAO_HOXA10_TARGETS_V	7_GOLUB_ALL_VS_AML_DN	38_THILLAINADESAN_ZNF21	31_REACTOME_THE_ROLE_OF	40_WU_HBX_TARGETS_3_UP
PIM1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFAIP8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELENBP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFE2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAM	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR56	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNH2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIT1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIRC5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIRPA	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLK1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPR1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMHD1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD68	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPEG1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAP1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RBM3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LITAF	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP26A1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT1A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WARS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHISA5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMSB4X	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCAM1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYROBP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3GL1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1B3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKBIZ	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBP4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DQA1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD52	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QC	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCLRE1A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNMT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STX3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAPTM5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSR1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSC	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBOX5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FASN	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LAMA5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LMO2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MAPK14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DOK4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CDC25B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CBX6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MKNK2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STMN1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EI24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NDE1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EIF2AK2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PPARGC1B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TRIM8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CHEK2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2C	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NAV1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MAFB	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CENPA	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DDIT4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
L1CAM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CDH4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
UBXN7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IL11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TGFA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
QPCT	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
INSIG1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SLC19A2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IL1A	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FKBP9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CST6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
COL8A1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MARCKS	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
RELB	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CFLAR	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRAF1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TNFRSF9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SLAMF1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IL15RA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LAMP3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NR4A3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
REL	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ZNF267	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BIRC3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KLF5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CD80	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PDGFA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IL2RA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MAFF	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IL7R	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TNFAIP3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LYN	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
STOM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ZYX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ITGAX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HOXA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CST3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CFD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AP1S1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AP2M1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HCK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AP1M2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PACS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CD28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ELMO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AP1S2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDK4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
VCL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PDCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IFNAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IFITM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TWF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TYMS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LMNB1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RAD51	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNB2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOP2A	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMMR	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KIAA0101	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CDCA8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CDC25C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IFI30	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MNDA	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TUBB2B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2F2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCAR3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCF2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAPG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
